An,gco2,An_mean,Fw_mean,Vj,Vp,Vc,Rd,Rd_ref,blade,root_length
-3.9492131628050986,8.0,-0.7898426325610197,998138.4872625576,0.0,115.83421179577068,17.045926623066862,0.7898426325610197,1.0604210000000003,488.8791311653862,1538.5926296013693
-3.9492131628050986,8.0,-0.7898426325610197,998138.8021870739,0.0,115.83422643089956,17.045926623066862,0.7898426325610197,1.0604210000000003,488.8791311653862,1538.5926296013693
-4.739055795366118,8.0,-0.7898426325610197,998137.4015367872,0.0,115.8341613395843,17.045926623066862,0.7898426325610197,1.0604210000000003,488.8791311653862,1538.5926296013693
-4.739055795366118,8.0,-0.7898426325610197,998137.8714648893,0.0,115.83418317809074,17.045926623066862,0.7898426325610197,1.0604210000000003,488.8791311653862,1538.5926296013693
-4.739055795366118,8.0,-0.7898426325610197,998138.2876010624,0.0,115.83420251676513,17.045926623066862,0.7898426325610197,1.0604210000000003,488.8791311653862,1538.5926296013693
-4.739055795366118,8.0,-0.7898426325610197,998138.6584485349,0.0,115.83421975077329,17.045926623066862,0.7898426325610197,1.0604210000000003,488.8791311653862,1538.5926296013693
-5.528898427927138,8.0,-0.7898426325610197,998137.5482885216,0.0,115.83416815920728,17.045926623066862,0.7898426325610197,1.0604210000000003,488.8791311653862,1538.5926296013693
122.21789557537446,149350.9194332716,17.459699367910638,998136.8664196735,27.106743340314296,119.32535033301141,18.273870086807822,0.8141707188971905,1.0604210000000003,488.8791311653862,1538.5926296013693
138.57705781816387,169115.28285004434,19.796722545451978,998136.9081918541,76.79999999999781,125.93723685834864,20.657455222601484,0.8607326771495039,1.0604210000000003,488.8791311653862,1538.5926296013693
156.0786722811447,190423.58546553674,22.29695318302067,998136.8688475435,126.49325665968153,132.83339867605355,23.20691067021262,0.9099574871919517,1.0604210000000003,488.8791311653862,1538.5926296013693
198.13538634812568,211650.84664846372,24.76692329351571,998135.6461112588,172.79999999999802,139.52604897611553,25.72528166376982,0.958358370254111,1.0604210000000003,488.8791311653862,1538.5926296013693
215.92474436303857,230920.56442050828,26.99059304537982,998135.7112859446,212.56450198781525,145.48591528616694,27.99256369453498,1.0019706491551559,1.0604210000000003,488.8791311653862,1538.5926296013693
230.06682081320304,246352.05343856142,28.75835260165038,998135.8183696722,243.07687752661073,150.19630558516496,29.795129172170853,1.0367765705204715,1.0604210000000003,488.8791311653862,1538.5926296013693
239.1679470830223,256337.56039941413,29.89599338537779,998136.0139990662,262.2577586475002,153.21970904412672,30.95526616350069,1.0592727781228979,1.0604210000000003,488.8791311653862,1538.5926296013693
272.59719542645496,259793.45008514693,30.288577269606108,998135.4544744944,268.79999999999995,154.2620446944016,31.35563419705745,1.0670569274513395,1.0604210000000003,488.8791311653862,1538.5926296013693
