P0;P1;P2;P3;time;P3_2
1872.565752;1821.955866;2024.395407;21610.42097;124;2631.714029
2042.876772;1987.663886;2208.515429;23631.11509;125;2871.070058
2176.61658;2117.789104;2353.099005;25178.15935;126;3117.856182
2261.810413;2261.810413;2506.330457;26224.77479;127;3301.020602
2352.952417;2291.032616;2538.711818;26563.59439;128;3343.669224
2322.940424;2261.810413;2506.330457;26224.77479;129;3362.150614
2294.27153;2176.61658;2411.92648;25178.15935;130;3235.511132
2153.302543;2098.089658;2263.728315;23686.32798;131;3036.708715
1973.785522;1923.175637;2075.005292;21812.86051;132;2783.543685
1817.106968;1726.251619;1907.962316;19488.47223;133;2543.949755
1604.1407;1523.933665;1684.347735;17204.40901;134;2285.900498
1037.770974;985.8824253;1089.659523;11104.14942;135;1478.823638
-44.37161752;-43.26232708;-46.59019839;-474.7763074;136;-63.22955496
-45.48090796;-43.26232708;-46.59019839;-475.8855979;137;-64.3388454
-45.48090796;-43.26232708;-46.59019839;-476.9948883;138;-64.3388454
-46.59019839;-43.26232708;-47.69948883;-479.2134692;139;-64.3388454
-46.59019839;-43.26232708;-47.69948883;-479.2134692;140;-64.3388454
-46.59019839;-44.37161752;-47.69948883;-479.2134692;141;-64.3388454
-46.59019839;-44.37161752;-47.69948883;-480.3227596;142;-66.55742628
-46.59019839;-44.37161752;-47.69948883;-480.3227596;143;-66.55742628
-46.59019839;-44.37161752;-47.69948883;-482.5413405;144;-67.66671671
1141.548071;1063.715248;1115.603797;11311.70362;145;1582.600735
1764.55477;1644.244218;1804.658288;17485.13363;146;2526.521603
1998.817664;1862.534642;2044.245339;19988.17664;147;2861.943474
2226.834948;2075.005292;2277.444833;22268.34948;148;3239.032651
2429.366972;2318.941201;2539.792743;24293.66972;149;3533.624687
2588.408905;2529.58143;2706.063856;25942.91653;150;3764.958408
2750.850502;2628.59048;2811.980513;26958.33492;151;4095.710747
2786.39102;2724.47122;2910.230621;27368.5518;152;4148.62663
2750.850502;2689.720491;2934.240535;27080.59494;153;4156.840759
2764.891331;2588.408905;2823.718806;26119.39895;154;4000.268308
2595.005629;2539.792743;2705.431401;24514.52126;155;3809.689115
2378.664603;2328.054718;2479.884374;22572.00879;156;3542.691962
2225.956035;2089.673013;2225.956035;20351.59804;157;3179.937194
1965.072358;1884.865323;2005.175875;17966.37584;158;2847.349743
1271.269443;1219.380894;1297.213717;11648.97918;159;1842.043479
-55.4645219;-52.13665058;-56.57381233;-498.0714066;160;-80.97820197
-55.4645219;-53.24594102;-57.68310277;-498.0714066;161;-82.08749241
-55.4645219;-54.35523146;-57.68310277;-498.0714066;162;-82.08749241
-56.57381233;-54.35523146;-57.68310277;-499.1806971;163;-83.19678285
-57.68310277;-54.35523146;-58.79239321;-498.0714066;164;-83.19678285
-58.79239321;-55.4645219;-58.79239321;-504.7271493;165;-84.30607328
-58.79239321;-56.57381233;-58.79239321;-504.7271493;166;-85.41536372
-59.90168365;-56.57381233;-61.01097409;-504.7271493;167;-85.41536372
-59.90168365;-56.57381233;-61.01097409;-504.7271493;168;-86.52465416
1400.990815;1349.102266;1426.935089;11778.70055;169;2023.653399
2205.693463;2085.38291;2245.79698;18247.10047;170;3168.177883
2498.522081;2362.239058;2543.949755;20624.16408;171;3634.213935
2834.15357;2732.9338;2834.15357;23027.49776;172;4099.400699
3147.134486;2981.495829;3147.134486;25121.86301;173;4472.243744
3411.993557;3176.683657;3353.166082;26825.32866;174;4823.85296
3545.540647;3301.020602;3545.540647;27936.4151;175;5012.660915
3591.348426;3405.589024;3653.268226;28297.3488;176;5139.343437
3606.670658;3362.150614;3606.670658;27936.4151;177;5073.790926
3470.821032;3294.338607;3470.821032;26942.98361;178;4941.50791
3257.560258;3091.921601;3257.560258;25287.50166;179;4693.095287
2985.983225;2884.763455;3036.593111;23229.9373;180;4301.84024
2771.088126;2589.377429;2725.660452;20851.30245;181;3861.352306
2446.314568;2285.900498;2406.21105;18407.51454;182;3489.006023
1582.600735;1478.823638;1608.54501;11934.3662;183;2257.151868
-68.77600715;-65.44813584;-68.77600715;-511.3828919;184;-97.61755854
-69.88529759;-65.44813584;-68.77600715;-511.3828919;185;-98.72684898
-69.88529759;-65.44813584;-68.77600715;-512.4921823;186;-98.72684898
-69.88529759;-65.44813584;-69.88529759;-512.4921823;187;-98.72684898
-69.88529759;-65.44813584;-69.88529759;-513.6014728;188;-98.72684898
-70.99458803;-66.55742628;-69.88529759;-518.0386345;189;-99.83613941
-72.10387847;-66.55742628;-70.99458803;-519.147925;190;-99.83613941
-72.10387847;-67.66671671;-70.99458803;-519.147925;191;-100.9454299
-72.10387847;-67.66671671;-72.10387847;-519.147925;192;-102.0547203
1712.322107;1608.54501;1686.377833;12141.9204;193;2386.87324
2646.832155;2486.418085;2646.832155;18808.54971;194;3729.627128
2998.226497;2816.5158;2998.226497;21351.00687;195;4270.201374
3390.862307;3137.812881;3340.252422;23837.25592;196;4757.329207
3754.476229;3423.198915;3644.050458;26005.26918;197;5190.011258
4000.268308;3764.958408;3941.440833;27766.56826;198;5588.610137
4156.840759;3912.320714;4095.710747;28975.62529;199;5868.481071
4272.466231;3962.867228;4148.62663;29349.98541;200;5944.300843
4217.97077;3912.320714;4217.97077;28975.62529;201;5868.481071
4117.923259;3764.958408;4059.095783;27884.22321;202;5706.265087
3864.902001;3588.837572;3809.689115;26170.90783;203;5355.649916
3542.691962;3289.642537;3492.082077;23989.08557;204;4909.158862
3179.937194;2998.226497;3179.937194;21578.14524;205;4406.484397
2847.349743;2646.832155;2807.246225;19009.0673;206;3970.248233
1842.043479;1712.322107;1816.099204;12323.53032;207;2568.483161
-78.75962109;-74.32245934;-77.65033066;-525.8036676;208;-110.9290438
-79.86891153;-74.32245934;-78.75962109;-528.0222485;209;-110.9290438
-79.86891153;-74.32245934;-78.75962109;-526.912958;210;-112.0383342
-80.97820197;-74.32245934;-79.86891153;-526.912958;211;-112.0383342
-82.08749241;-74.32245934;-79.86891153;-526.912958;212;-112.0383342
-82.08749241;-75.43174978;-79.86891153;-528.0222485;213;-113.1476247
-82.08749241;-76.54104022;-80.97820197;-528.0222485;214;-113.1476247
-82.08749241;-76.54104022;-80.97820197;-528.0222485;215;-114.2569151
-83.19678285;-76.54104022;-80.97820197;-528.0222485;216;-115.3662055
1945.820576;1790.15493;1893.932027;12401.36314;217;2724.148807
3007.763813;2767.142708;3007.763813;19169.48137;218;4250.972856
3407.075564;3179.937194;3407.075564;21759.85594;219;4815.333464
3795.741388;3542.691962;3795.741388;24242.135;220;5415.257714
4196.179315;3975.327772;4251.392201;26502.18515;221;5907.778773
4470.888109;4235.578209;4588.54306;28237.18806;222;6353.367313
4707.010859;4401.360803;4768.14087;29342.40535;223;6663.171216
4767.824634;4520.145432;4891.664235;29721.50421;224;6811.178049
4768.14087;4523.620826;4829.270881;29586.9254;225;6846.561249
4706.19801;4353.233159;4647.370535;28472.49796;226;6647.504689
4417.030858;4140.96643;4472.243744;26723.03669;227;6294.268973
4048.790814;3795.741388;4099.400699;24545.79431;228;5769.52691
3679.64161;3452.503239;3679.64161;22077.84966;229;5178.754858
3248.384918;3087.970848;3288.488436;19530.41303;230;4652.008031
2127.430497;1997.709125;2127.430497;12634.86161;231;3009.535825
